step,pred_api,gold_api,parse_ok,strict_correct,cumulative_regret
354,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,164.0000
355,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,165.0000
356,siteDomain%%language list,siteDomain%%language list,1,1,165.0000
357,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,166.0000
358,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,166.0000
359,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,166.0000
360,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,166.0000
361,get_today_date,get_today_date,1,1,166.0000
362,get_arxiv_article_information,get_arxiv_article_information,1,1,166.0000
363,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,166.0000
364,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,166.0000
365,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,1,0,167.0000
366,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,167.0000
367,disambiguation,PTL%%update,1,0,168.0000
368,English Talking%%Get an answer,English Talking%%Get an answer,1,1,168.0000
369,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,1,168.0000
370,getWolframAlphaResults,getWolframAlphaResults,1,0,169.0000
371,BART%%Advisory information,BART%%Advisory information,1,0,170.0000
372,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,171.0000
373,get_arxiv_article_information,get_arxiv_article_information,1,1,171.0000
374,search,search,1,1,171.0000
375,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,0,172.0000
376,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,172.0000
377,getWolframAlphaResults,search,1,0,173.0000
378,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,173.0000
379,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,174.0000
380,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,174.0000
381,siteDomain%%language list,siteDomain%%language list,1,1,174.0000
382,forecast_weather,forecast_weather,1,1,174.0000
383,add_date,add_date,1,1,174.0000
384,get_arxiv_article_information,get_arxiv_article_information,1,0,175.0000
385,search,getWolframAlphaResults,1,0,176.0000
386,English Talking%%Get an answer,English Talking%%Get an answer,1,0,177.0000
387,siteDomain%%language list,siteDomain%%language list,1,1,177.0000
388,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,0,178.0000
389,get_arxiv_article_information,get_arxiv_article_information,1,1,178.0000
390,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,179.0000
391,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,179.0000
392,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,179.0000
393,search,search_general,1,0,180.0000
394,forecast_weather,Weather_dataSet%%Weather_dataSet,1,0,181.0000
395,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,181.0000
396,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,1,0,182.0000
397,Token API%%generate,Token API%%generate,1,1,182.0000
398,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,183.0000
399,disambiguation,colegiosantaana%%Mensajes-1,1,0,184.0000
400,getWolframAlphaResults,search_general,1,0,185.0000
401,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,185.0000
402,BART%%Advisory information,BART%%Advisory information,1,1,185.0000
403,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,185.0000
404,get_today_date,get_today_date,1,1,185.0000
405,Car database%%Makes,Car database%%Makes,1,1,185.0000
406,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,185.0000
407,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,185.0000
408,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,185.0000
409,Numbers,getWolframAlphaResults,1,0,186.0000
410,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,186.0000
411,BART%%Advisory information,BART%%Advisory information,1,0,187.0000
412,BART%%Advisory information,BART%%Advisory information,1,0,188.0000
413,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,188.0000
414,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,0,189.0000
415,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,189.0000
416,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,190.0000
417,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,190.0000
418,add_date,add_date,1,1,190.0000
419,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,190.0000
420,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,191.0000
421,forecast_weather,forecast_weather,1,1,191.0000
422,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,191.0000
423,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,191.0000
424,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,191.0000
425,forecast_weather,forecast_weather,1,1,191.0000
426,BART%%Advisory information,BART%%Advisory information,1,0,192.0000
427,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,193.0000
428,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,193.0000
429,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,193.0000
430,Global Email V4,Global Email V4%%Global Email V4,1,0,194.0000
431,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,194.0000
432,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,194.0000
433,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,195.0000
434,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,195.0000
435,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,195.0000
436,add_date,add_date,1,1,195.0000
437,search,search,1,1,195.0000
438,BART%%Advisory information,BART%%Advisory information,1,1,195.0000
439,siteDomain%%language list,siteDomain%%language list,1,1,195.0000
440,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,195.0000
441,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,196.0000
442,siteDomain%%language list,siteDomain%%language list,1,1,196.0000
443,get_today_date,get_today_date,1,1,196.0000
444,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,197.0000
445,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,197.0000
446,search,Places%%Geographic coordinates by placename,1,0,198.0000
447,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,198.0000
448,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,1,198.0000
449,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,198.0000
450,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,198.0000
451,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,199.0000
452,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,199.0000
453,English Talking%%Get an answer,English Talking%%Get an answer,1,0,200.0000
454,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,200.0000
455,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,201.0000
456,siteDomain%%industry list,siteDomain%%industry list,1,1,201.0000
457,BART%%Advisory information,BART%%Advisory information,1,0,202.0000
458,getWolframAlphaResults,getWolframAlphaResults,1,0,203.0000
459,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,203.0000
460,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,203.0000
461,getWolframAlphaResults,search_general,1,0,204.0000
462,get_weather_today,get_weather_today,1,1,204.0000
463,get_arxiv_article_information,get_arxiv_article_information,1,0,205.0000
464,getWolframAlphaResults,search,1,0,206.0000
465,getWolframAlphaResults,getWolframAlphaResults,1,0,207.0000
466,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,0,208.0000
467,search,search_general,1,0,209.0000
468,search,search_places,1,0,210.0000
469,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,211.0000
470,Numbers,Numbers%%Get math fact,1,0,212.0000
471,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,0,213.0000
472,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,213.0000
473,Password Generator API%%Base,Password Generator API%%Password of length 50,1,0,214.0000
474,get_weather_today,get_weather_today,1,1,214.0000
475,get_weather_today,get_weather_today,1,1,214.0000
476,BART%%Advisory information,BART%%Advisory information,1,1,214.0000
477,get_weather_today,get_weather_today,1,1,214.0000
478,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,215.0000
479,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,216.0000
480,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,216.0000
481,thailand%%thai4,thailand%%thai4,1,1,216.0000
482,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,216.0000
483,siteDomain%%industry list,siteDomain%%industry list,1,1,216.0000
484,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,216.0000
485,Numbers,Numbers%%Get math fact,1,0,217.0000
486,forecast_weather,forecast_weather,1,0,218.0000
487,siteDomain%%industry list,siteDomain%%industry list,1,1,218.0000
488,search,Places%%Geographic coordinates by placename,1,0,219.0000
489,English Talking%%Get an answer,English Talking%%Get an answer,1,0,220.0000
490,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,220.0000
491,add_date,add_date,1,1,220.0000
492,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,221.0000
493,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,221.0000
494,search_places,search,1,0,222.0000
495,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,223.0000
496,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,223.0000
497,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,223.0000
498,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,224.0000
499,forecast_weather,forecast_weather,1,0,225.0000
500,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,225.0000
501,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,226.0000
502,Token API%%generate,Token API%%generate,1,1,226.0000
503,add_date,add_date,1,1,226.0000
504,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,226.0000
505,forecast_weather,Weather_dataSet%%Weather_dataSet,1,0,227.0000
506,thailand%%thai4,thailand%%thai4,1,1,227.0000
507,BART%%Advisory information,BART%%Advisory information,1,0,228.0000
508,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,228.0000
509,Global Email V4,Global Email V4%%Global Email V4,1,0,229.0000
510,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,229.0000
511,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,230.0000
512,Numbers,Numbers%%Get math fact,1,0,231.0000
513,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,232.0000
514,search,disambiguation,1,0,233.0000
515,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,0,234.0000
516,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,234.0000
517,get_weather_today,get_weather_today,1,1,234.0000
518,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,1,234.0000
519,search,search_general,1,0,235.0000
520,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,235.0000
521,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,235.0000
522,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,235.0000
523,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,235.0000
524,Global Email V4,search_general,1,0,236.0000
525,get_weather_today,forecast_weather,1,0,237.0000
526,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,237.0000
527,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,0,238.0000
528,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,238.0000
529,thailand%%thai4,thailand%%thai4,1,1,238.0000
530,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,238.0000
531,get_arxiv_article_information,get_arxiv_article_information,1,0,239.0000
532,Car database%%Makes,Car database%%Makes,1,1,239.0000
533,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,239.0000
534,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,240.0000
535,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,240.0000
536,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,241.0000
537,thailand%%thai4,thailand%%thai4,1,1,241.0000
538,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,242.0000
539,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,242.0000
540,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,242.0000
541,Numbers,Numbers%%Get math fact,1,0,243.0000
542,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,243.0000
543,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,1,243.0000
544,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,244.0000
545,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,245.0000
546,Token API%%generate,Token API%%generate,1,1,245.0000
547,get_arxiv_article_information,get_arxiv_article_information,1,1,245.0000
548,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,245.0000
549,get_arxiv_article_information,get_arxiv_article_information,1,1,245.0000
550,siteDomain%%industry list,siteDomain%%industry list,1,1,245.0000
551,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,246.0000
552,search,getWolframAlphaResults,1,0,247.0000
553,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,247.0000
554,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,247.0000
555,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,247.0000
556,search,getWolframAlphaResults,1,0,248.0000
557,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,248.0000
558,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,249.0000
559,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,249.0000
560,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,249.0000
561,siteDomain%%industry list,siteDomain%%industry list,1,1,249.0000
562,get_today_date,get_today_date,1,1,249.0000
563,add_date,add_date,1,1,249.0000
564,Numbers,Numbers%%Get math fact,1,0,250.0000
565,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,251.0000
566,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,251.0000
567,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,252.0000
568,forecast_weather,forecast_weather,1,1,252.0000
569,search,disambiguation,1,0,253.0000
570,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,253.0000
571,BART%%Advisory information,BART%%Advisory information,1,0,254.0000
572,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,255.0000
573,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,256.0000
574,forecast_weather,forecast_weather,1,1,256.0000
575,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,257.0000
576,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,257.0000
577,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,258.0000
578,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,258.0000
579,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,0,259.0000
580,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,260.0000
581,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,260.0000
582,siteDomain%%language list,siteDomain%%language list,1,1,260.0000
583,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,1,260.0000
584,Stadia Maps Time Zone API%%TZ Lookup by Location,Places%%Geographic coordinates by placename,1,0,261.0000
585,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,261.0000
586,search,search,1,0,262.0000
587,add_date,add_date,1,1,262.0000
588,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,262.0000
589,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,262.0000
590,Numbers,Numbers%%Get math fact,1,0,263.0000
591,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,0,264.0000
592,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,265.0000
593,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,265.0000
594,getWolframAlphaResults,search_general,1,0,266.0000
595,search_places,search_places,1,0,267.0000
596,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,267.0000
597,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,267.0000
598,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,267.0000
599,Car database%%Makes,Car database%%Makes,1,1,267.0000
600,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,267.0000
601,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,267.0000
602,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,267.0000
603,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,267.0000
604,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,268.0000
605,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,268.0000
606,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,268.0000
607,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,268.0000
608,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,268.0000
609,getWolframAlphaResults,search,1,0,269.0000
610,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,269.0000
611,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,269.0000
612,Global Email V4,Global Email V4%%Global Email V4,1,0,270.0000
613,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,270.0000
614,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,271.0000
615,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,271.0000
616,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,272.0000
617,Password Generator API%%Base,Password Generator API%%Password of length 50,1,0,273.0000
618,get_arxiv_article_information,get_arxiv_article_information,1,1,273.0000
619,None,disambiguation,0,0,274.0000
620,English Talking%%Get an answer,English Talking%%Get an answer,1,1,274.0000
621,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,274.0000
622,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,275.0000
623,Password Generator API%%Base,Password Generator API%%Base,1,1,275.0000
624,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,275.0000
625,search,disambiguation,1,0,276.0000
626,get_arxiv_article_information,get_arxiv_article_information,1,1,276.0000
627,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,0,277.0000
628,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,278.0000
629,search,search_places,1,0,279.0000
630,search_places,search_places,1,0,280.0000
631,Car database%%Models,Car database%%Makes,1,0,281.0000
632,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,282.0000
633,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,283.0000
634,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,283.0000
635,Password Generator API%%Base,Password Generator API%%Base,1,1,283.0000
636,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,284.0000
637,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,284.0000
638,Numbers,Numbers%%Get math fact,1,0,285.0000
639,add_date,add_date,1,1,285.0000
640,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,286.0000
641,thailand%%thai4,thailand%%thai4,1,1,286.0000
642,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,286.0000
643,siteDomain%%language list,siteDomain%%language list,1,1,286.0000
644,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,286.0000
645,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,287.0000
646,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,287.0000
647,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,288.0000
648,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,288.0000
649,Token API%%generate,Token API%%generate,1,1,288.0000
650,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,288.0000
651,search,disambiguation,1,0,289.0000
652,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,289.0000
653,English Talking%%Get an answer,English Talking%%Get an answer,1,0,290.0000
654,Global Email V4,Global Email V4%%Global Email V4,1,0,291.0000
655,getWolframAlphaResults,search_general,1,0,292.0000
656,search,search,1,1,292.0000
657,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,292.0000
658,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,292.0000
659,None,PTL%%update,0,0,293.0000
660,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,294.0000
661,siteDomain%%industry list,siteDomain%%industry list,1,1,294.0000
662,search,disambiguation,1,0,295.0000
663,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,296.0000
664,Numbers,Numbers%%Get math fact,1,0,297.0000
665,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,298.0000
666,NumbersTranslator,get_today_date,1,0,299.0000
667,Numbers,get_today_date,1,0,300.0000
668,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,0,301.0000
669,thailand%%thai4,thailand%%thai4,1,1,301.0000
670,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,302.0000
671,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,302.0000
672,Token API%%generate,Token API%%generate,1,1,302.0000
673,getWolframAlphaResults,search,1,0,303.0000
674,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,0,304.0000
675,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,304.0000
676,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,304.0000
677,search_places,search_places,1,1,304.0000
678,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,304.0000
679,forecast_weather,Weather_dataSet%%Weather_dataSet,1,0,305.0000
680,None,disambiguation,0,0,306.0000
681,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,307.0000
682,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,307.0000
683,add_date,add_date,1,1,307.0000
684,getWolframAlphaResults,search_general,1,0,308.0000
685,siteDomain%%language list,siteDomain%%language list,1,1,308.0000
686,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,308.0000
687,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,308.0000
688,add_date,add_date,1,1,308.0000
689,Car database%%Models,Car database%%Makes,1,0,309.0000
690,thailand%%thai4,search_places,1,0,310.0000
691,Password Generator API%%Base,Password Generator API%%Base,1,1,310.0000
692,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,310.0000
693,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,310.0000
694,Global Email V4,Global Email V4%%Global Email V4,1,0,311.0000
695,get_weather_today,get_weather_today,1,1,311.0000
696,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,311.0000
697,Numbers,Numbers%%Get math fact,1,0,312.0000
698,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,312.0000
699,search,search_places,1,0,313.0000
700,thailand%%thai4,thailand%%thai4,1,1,313.0000
701,search,search_general,1,0,314.0000
702,get_weather_today,get_weather_today,1,1,314.0000
703,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,315.0000
704,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,315.0000
705,Token API%%generate,Token API%%generate,1,1,315.0000
706,siteDomain%%language list,siteDomain%%language list,1,1,315.0000
707,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,316.0000
708,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,317.0000
709,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,318.0000
710,get_today_date,get_today_date,1,1,318.0000
711,BART%%Advisory information,BART%%Advisory information,1,0,319.0000
712,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,319.0000
713,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,319.0000
714,search,search_general,1,0,320.0000
715,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,320.0000
716,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,320.0000
717,get_weather_today,get_weather_today,1,1,320.0000
